,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,noumea,-22.28,166.46,64.4,82,75,5.44,NC,1970-01-01
1,jamestown,42.1,-79.24,63.0,100,40,3.11,US,1970-01-01
2,barrow,71.29,-156.79,42.8,93,90,14.99,US,1970-01-01
3,aitape,-3.14,142.35,78.6,83,1,6.85,PG,1970-01-01
4,sfantu gheorghe,45.87,25.78,84.0,42,100,1.99,RO,1970-01-01
5,rikitea,-23.12,-134.97,71.44,81,13,12.5,PF,1970-01-01
6,ancud,-41.87,-73.82,39.0,72,81,5.82,CL,1970-01-01
7,sataua,-21.2,-175.2,71.6,100,90,10.29,TO,1970-01-01
8,vaini,-33.7,-53.46,55.22,66,0,5.53,UY,1970-01-01
9,chuy,-23.13,150.73,60.8,67,0,1.12,AU,1970-01-01
10,yeppoon,-2.67,141.3,79.88,81,2,6.58,PG,1970-01-01
11,rungata,60.92,-46.05,57.2,50,20,3.36,GL,1970-01-01
12,vanimo,-38.0,-57.56,54.0,75,73,9.17,AR,1970-01-01
13,narsaq,59.45,112.56,54.72,50,0,1.28,RU,1970-01-01
14,mar del plata,67.63,134.63,49.26,57,100,2.66,RU,1970-01-01
15,vitim,-33.59,26.89,53.78,68,100,33.44,ZA,1970-01-01
16,batagay,38.73,113.23,59.07,83,96,3.76,CN,1970-01-01
17,port alfred,-13.2,49.05,86.16,41,1,12.68,MG,1970-01-01
18,taicheng,-17.73,-149.15,73.4,83,20,2.24,PF,1970-01-01
19,ambilobe,50.25,-96.06,63.0,99,2,3.0,CA,1970-01-01
20,tautira,-22.97,-42.03,73.4,88,75,5.82,BR,1970-01-01
21,lac du bonnet,-34.42,19.23,54.0,65,90,5.99,ZA,1970-01-01
22,arraial do cabo,38.52,-28.7,73.4,94,75,8.05,PT,1970-01-01
23,hermanus,6.19,-67.49,73.4,100,75,6.93,CO,1970-01-01
24,ribeira grande,65.61,-37.64,55.4,37,75,14.99,GL,1970-01-01
25,puerto carreno,43.13,-115.69,73.4,49,75,6.93,US,1970-01-01
26,tasiilaq,3.07,172.79,82.54,72,99,7.63,KI,1970-01-01
27,mountain home,-54.8,-68.3,29.68,93,100,7.25,AR,1970-01-01
28,butaritari,64.38,-173.3,48.92,79,100,9.13,RU,1970-01-01
29,ushuaia,-42.88,147.33,46.99,75,75,6.93,AU,1970-01-01
30,provideniya,26.18,127.76,84.2,74,20,9.17,JP,1970-01-01
31,hobart,-1.83,-44.87,81.39,73,100,8.81,BR,1970-01-01
32,nishihara,66.04,-17.34,51.8,81,90,5.82,IS,1970-01-01
33,cururupu,-3.8,102.27,79.7,81,49,1.34,ID,1970-01-01
34,husavik,69.45,-133.04,47.43,88,100,12.75,CA,1970-01-01
35,bengkulu,42.6,-73.97,69.01,73,0,5.39,US,1970-01-01
36,tuktoyaktuk,36.06,103.79,71.01,54,0,7.16,CN,1970-01-01
37,albany,-42.78,147.06,46.0,81,73,2.95,AU,1970-01-01
38,lanzhou,-33.92,25.57,46.4,87,75,25.28,ZA,1970-01-01
39,new norfolk,33.19,-82.53,73.4,81,75,3.36,US,1970-01-01
40,port elizabeth,-33.93,18.42,59.0,54,40,21.92,ZA,1970-01-01
41,avera,-46.19,168.86,42.01,68,100,3.87,NZ,1970-01-01
42,cape town,32.77,-108.28,64.0,59,1,9.17,US,1970-01-01
43,mataura,-5.2,-35.46,80.6,74,40,8.05,BR,1970-01-01
44,silver city,26.12,127.67,84.2,79,20,6.93,JP,1970-01-01
45,touros,22.08,-159.32,78.8,74,20,12.75,US,1970-01-01
46,itoman,8.12,-63.55,75.45,91,100,4.85,VE,1970-01-01
47,kapaa,64.56,39.83,55.4,62,40,11.18,RU,1970-01-01
48,ciudad bolivar,26.78,-101.42,78.01,57,98,1.01,MX,1970-01-01
49,severodvinsk,64.86,-147.8,50.0,81,20,5.82,US,1970-01-01
50,castanos,69.7,170.31,39.72,85,99,13.58,RU,1970-01-01
51,college,19.73,-155.09,73.4,78,90,4.7,US,1970-01-01
52,pevek,14.9,-24.5,79.66,83,70,6.49,CV,1970-01-01
53,hilo,24.78,112.38,78.51,82,96,3.62,CN,1970-01-01
54,sao filipe,12.97,77.23,81.0,69,40,10.29,IN,1970-01-01
55,lianzhou,1.44,31.34,80.06,60,93,1.9,UG,1970-01-01
56,magadi,24.14,67.45,86.16,79,100,16.17,PK,1970-01-01
57,hoima,-23.7,133.88,64.4,27,0,5.82,AU,1970-01-01
58,keti bandar,54.17,74.69,67.33,53,68,8.39,RU,1970-01-01
59,alice springs,60.15,-1.15,59.0,100,75,5.82,GB,1970-01-01
60,novovarshavka,5.41,100.34,82.4,88,20,3.36,MY,1970-01-01
61,lerwick,-53.15,-70.92,28.4,79,20,13.87,CL,1970-01-01
62,georgetown,35.13,140.3,84.0,78,58,1.99,JP,1970-01-01
63,punta arenas,-45.58,-72.07,30.2,74,20,4.7,CL,1970-01-01
64,katsuura,-30.18,-50.21,63.72,85,62,16.33,BR,1970-01-01
65,coihaique,71.92,114.08,46.81,76,100,8.99,RU,1970-01-01
66,cidreira,-15.43,-74.62,64.76,48,57,4.29,PE,1970-01-01
67,saskylakh,-20.32,118.57,62.6,55,0,6.93,AU,1970-01-01
68,acari,-21.21,-159.78,71.6,73,96,11.41,CK,1970-01-01
69,burica,-34.53,20.04,59.0,51,97,20.8,ZA,1970-01-01
70,port hedland,-8.93,125.41,55.6,100,1,2.21,TL,1970-01-01
71,sentyabrskiy,48.25,36.73,82.53,36,89,8.37,UA,1970-01-01
72,avarua,-20.21,57.76,75.2,73,75,16.11,MU,1970-01-01
73,bredasdorp,-23.86,35.38,78.8,65,0,20.8,MZ,1970-01-01
74,airai,9.4,-0.84,86.79,63,80,8.34,GH,1970-01-01
75,mezhova,-33.65,115.33,48.0,63,100,6.38,AU,1970-01-01
76,vaitupu,65.98,60.31,63.03,61,54,15.9,RU,1970-01-01
77,nizhneyansk,-25.3,152.85,68.0,82,0,14.99,AU,1970-01-01
78,viligili,49.25,9.85,73.4,56,20,6.93,DE,1970-01-01
79,quatre cocos,33.08,-16.33,77.0,65,20,12.75,PT,1970-01-01
80,inhambane,-13.88,167.55,77.0,94,20,3.87,VU,1970-01-01
81,tamale,39.05,-27.98,73.56,87,82,19.37,PT,1970-01-01
82,mahadday weyne,60.14,-45.24,51.67,64,12,4.47,GL,1970-01-01
83,busselton,-11.38,43.28,82.4,74,40,9.17,KM,1970-01-01
84,verkhnyaya inta,36.85,-75.98,78.01,83,40,3.36,US,1970-01-01
85,hervey bay,-25.17,45.05,87.89,18,0,7.72,MG,1970-01-01
86,lolua,37.1,-113.58,80.6,12,1,4.7,US,1970-01-01
87,langenburg,39.18,8.97,93.2,41,7,10.29,IT,1970-01-01
88,camacha,4.25,-54.38,82.4,68,93,4.12,GF,1970-01-01
89,sola,59.7,30.79,69.8,35,0,4.47,RU,1970-01-01
90,lagoa,5.25,-73.85,50.0,100,75,2.24,CO,1970-01-01
91,nanortalik,-0.74,-90.35,64.99,98,99,5.01,EC,1970-01-01
92,mitsamiouli,77.48,-69.36,44.24,60,100,10.51,GL,1970-01-01
93,virginia beach,62.46,-114.35,55.4,93,75,6.93,CA,1970-01-01
94,beloha,-24.79,-50.01,61.95,91,100,10.29,BR,1970-01-01
95,saint george,-21.64,-41.05,75.2,83,6,4.45,BR,1970-01-01
96,capoterra,64.18,-51.72,53.6,62,20,1.68,GL,1970-01-01
97,grand-santi,39.84,69.53,78.8,34,75,11.18,KG,1970-01-01
98,nikolskoye,-21.36,55.77,77.0,64,20,17.22,RE,1970-01-01
99,sutatausa,38.75,30.67,86.0,22,0,4.7,TR,1970-01-01
100,puerto ayora,-46.6,168.33,46.36,65,100,10.42,NZ,1970-01-01
101,qaanaaq,-30.03,-70.71,36.0,86,32,4.0,CL,1970-01-01
102,satitoa,-46.28,169.85,45.0,68,99,4.0,NZ,1970-01-01
103,yellowknife,22.29,114.16,80.01,78,100,15.01,HK,1970-01-01
104,castro,-33.02,27.91,60.8,29,36,32.21,ZA,1970-01-01
105,sao joao da barra,46.05,-118.39,80.6,39,1,5.82,US,1970-01-01
106,nuuk,-9.8,-139.03,78.4,78,5,21.12,PF,1970-01-01
107,isfana,28.66,-17.92,80.6,61,20,14.99,ES,1970-01-01
108,saint-philippe,55.74,-97.86,51.8,100,75,3.36,CA,1970-01-01
109,afyonkarahisar,10.3,79.18,84.09,70,53,17.02,IN,1970-01-01
110,bluff,2.77,-77.67,75.29,93,96,7.16,CO,1970-01-01
111,vicuna,-20.34,57.76,75.2,73,75,16.11,MU,1970-01-01
112,kaitangata,-27.16,-48.55,66.99,100,75,5.82,BR,1970-01-01
113,victoria,-20.41,57.7,75.2,73,75,16.11,MU,1970-01-01
114,east london,-4.2,36.93,79.65,26,100,10.96,TZ,1970-01-01
115,college place,11.0,122.67,77.09,88,100,3.8,PH,1970-01-01
116,atuona,25.52,90.22,77.61,91,91,8.01,IN,1970-01-01
117,los llanos de aridane,68.22,-135.01,48.2,81,40,2.24,CA,1970-01-01
118,thompson,-34.58,150.86,57.99,78,23,1.01,AU,1970-01-01
119,peravurani,51.8,68.33,64.11,56,100,17.38,KZ,1970-01-01
120,timbiqui,41.62,2.67,82.0,41,100,4.0,ES,1970-01-01
121,belushya guba,7.98,49.82,90.0,41,23,28.07,SO,1970-01-01
122,bambous virieux,41.76,86.15,88.61,17,0,1.41,CN,1970-01-01
123,tsihombe,-37.62,-73.65,46.96,79,71,9.93,CL,1970-01-01
124,grand river south east,72.79,-56.15,48.61,55,100,4.79,GL,1970-01-01
125,porto belo,-0.6,73.08,84.18,74,17,8.28,MV,1970-01-01
126,mahebourg,32.67,-17.1,77.0,64,0,4.63,PT,1970-01-01
127,naberera,43.65,111.98,68.68,53,100,11.65,CN,1970-01-01
128,dingle,4.93,-52.33,86.0,70,75,5.82,GF,1970-01-01
129,tura,56.91,118.26,48.43,56,0,4.85,RU,1970-01-01
130,aklavik,50.68,156.12,50.58,89,23,9.75,RU,1970-01-01
131,flinders,64.5,-165.41,46.4,87,1,3.53,US,1970-01-01
132,atbasar,42.8,93.45,87.66,12,6,2.15,CN,1970-01-01
133,calella,41.37,-73.41,64.4,88,1,3.36,US,1970-01-01
134,eyl,67.45,153.68,44.19,68,97,4.81,RU,1970-01-01
135,korla,-34.48,-54.33,56.41,66,0,9.22,UY,1970-01-01
136,barentsburg,45.67,4.08,78.8,41,75,3.36,FR,1970-01-01
137,lebu,-20.52,57.52,75.2,73,75,16.11,MU,1970-01-01
138,upernavik,-24.83,16.98,57.69,33,0,18.41,NA,1970-01-01
139,hithadhoo,70.37,31.11,53.6,66,40,23.04,NO,1970-01-01
140,ponta do sol,51.32,42.77,81.0,41,29,4.0,RU,1970-01-01
141,erenhot,37.5,61.97,89.6,19,0,9.17,TM,1970-01-01
142,cayenne,41.04,-83.65,62.6,82,1,6.93,US,1970-01-01
143,chara,30.48,-115.95,73.65,70,0,6.96,MX,1970-01-01
144,severo-kurilsk,41.14,-73.36,71.01,77,75,3.36,US,1970-01-01
145,tumannyy,42.78,-9.06,69.8,83,75,11.41,ES,1970-01-01
146,nome,11.5,42.5,113.0,16,1,10.29,DJ,1970-01-01
147,hami,38.03,-121.88,77.0,73,1,4.07,US,1970-01-01
148,bethel,11.03,20.28,79.68,86,100,3.22,TD,1970-01-01
149,srednekolymsk,19.22,-104.7,78.8,94,75,11.41,MX,1970-01-01
150,rocha,54.32,-130.32,55.4,100,90,3.36,CA,1970-01-01
151,mys shmidta,41.87,72.94,67.77,63,100,4.45,KG,1970-01-01
152,montbrison,73.51,80.55,52.3,75,0,5.91,RU,1970-01-01
153,illoqqortoormiut,69.49,88.4,69.8,40,3,4.47,RU,1970-01-01
154,souillac,-33.01,17.94,59.0,47,79,17.22,ZA,1970-01-01
155,maltahohe,-6.98,-34.83,80.6,74,40,14.99,BR,1970-01-01
156,vardo,-25.24,130.99,59.0,26,0,8.05,AU,1970-01-01
157,kamenka,32.69,47.27,112.35,6,0,15.21,IR,1970-01-01
158,murgab,6.32,16.38,80.67,81,79,4.61,CF,1970-01-01
159,findlay,27.98,-114.06,72.03,76,0,3.49,MX,1970-01-01
160,san quintin,-34.67,-54.92,55.99,76,0,6.93,UY,1970-01-01
161,westport,49.07,23.86,78.8,57,75,4.47,UA,1970-01-01
162,urdzhar,-8.47,140.33,75.29,76,4,12.55,ID,1970-01-01
163,taolanaro,-16.48,-151.75,77.85,78,86,13.73,PF,1970-01-01
164,muros,56.8,124.8,39.78,90,27,3.83,RU,1970-01-01
165,jibuti,57.06,63.75,62.96,68,77,2.59,RU,1970-01-01
166,jiddah,63.44,-20.27,50.0,93,90,6.93,IS,1970-01-01
167,pittsburg,-23.78,-45.36,74.1,74,100,4.63,BR,1970-01-01
168,am timan,18.22,-63.06,86.0,70,20,19.46,AI,1970-01-01
169,san patricio,61.99,-49.67,49.14,67,0,5.17,GL,1970-01-01
170,prince rupert,66.71,27.43,62.64,44,85,4.61,FI,1970-01-01
171,deh rawud,53.69,88.06,63.84,84,100,4.21,RU,1970-01-01
172,toktogul,7.92,98.33,89.01,78,20,6.93,TH,1970-01-01
173,dikson,46.43,26.4,87.8,29,80,13.87,RO,1970-01-01
174,talnakh,-21.37,55.62,77.0,64,20,17.22,RE,1970-01-01
175,saldanha,66.77,123.37,56.01,67,100,17.58,RU,1970-01-01
176,cheuskiny,66.15,-65.71,46.4,87,75,3.36,CA,1970-01-01
177,cabedelo,24.8,125.28,85.26,78,98,12.03,JP,1970-01-01
178,yulara,-24.87,113.63,64.4,82,83,12.75,AU,1970-01-01
179,dehloran,6.87,-10.82,75.07,92,99,3.67,LR,1970-01-01
180,bozoum,1.86,9.77,80.6,88,40,9.17,GQ,1970-01-01
181,guerrero negro,-2.92,-39.92,84.81,48,15,17.29,BR,1970-01-01
182,maldonado,-22.45,18.97,63.54,25,0,15.86,NA,1970-01-01
183,bolekhiv,70.63,147.92,39.63,89,100,6.02,RU,1970-01-01
184,merauke,40.43,71.72,69.8,68,75,6.93,UZ,1970-01-01
185,faanui,58.3,-134.42,53.01,93,90,1.95,US,1970-01-01
186,serebryanyy bor,-45.87,-67.5,39.2,48,40,17.22,AR,1970-01-01
187,troitskiy,18.69,12.92,104.56,13,0,3.91,NE,1970-01-01
188,vestmannaeyjar,53.94,139.92,49.33,100,100,4.7,RU,1970-01-01
189,ilhabela,-28.87,153.57,61.0,67,90,8.19,AU,1970-01-01
190,the valley,9.23,-78.02,81.25,83,98,4.47,PA,1970-01-01
191,paamiut,-10.62,150.67,74.32,66,2,8.01,PG,1970-01-01
192,kemijarvi,9.44,-64.47,75.29,93,100,10.22,VE,1970-01-01
193,mezhdurechensk,51.74,71.71,63.86,53,74,19.86,KZ,1970-01-01
