,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ponta do sol,32.67,-17.1,71.6,68,40,5.82,PT,1970-01-01
1,mar del plata,-38.0,-57.56,42.8,87,0,4.7,AR,1970-01-01
2,new norfolk,-42.78,147.06,55.0,89,100,2.82,AU,1970-01-01
3,san luis,-33.3,-66.34,42.91,50,0,7.81,AR,1970-01-01
4,arraial do cabo,-22.97,-42.03,70.68,87,0,22.19,BR,1970-01-01
5,sorland,67.67,12.69,53.6,93,75,19.46,NO,1970-01-01
6,bua yai,15.59,102.43,77.74,81,100,11.18,TH,1970-01-01
7,kununurra,-15.77,128.73,96.8,15,0,4.7,AU,1970-01-01
8,hermanus,-34.42,19.23,51.01,84,81,3.0,ZA,1970-01-01
9,puerto ayora,-0.74,-90.35,66.0,97,94,1.99,EC,1970-01-01
10,hobart,-42.88,147.33,55.0,87,75,8.05,AU,1970-01-01
11,tuktoyaktuk,69.45,-133.04,47.35,85,100,3.29,CA,1970-01-01
12,mayor pablo lagerenza,-19.93,-60.77,75.36,55,0,5.97,PY,1970-01-01
13,tabiauea,-26.32,31.13,69.8,46,0,12.75,SZ,1970-01-01
14,mbabane,61.36,63.58,63.72,41,73,6.6,RU,1970-01-01
15,sovetskiy,-23.12,-134.97,70.79,76,1,12.01,PF,1970-01-01
16,rikitea,-53.15,-70.92,32.0,90,13,12.75,CL,1970-01-01
17,punta arenas,-0.72,8.78,77.0,83,75,15.52,GA,1970-01-01
18,port-gentil,-0.33,37.65,76.19,49,71,5.93,KE,1970-01-01
19,chuka,-17.71,-39.25,69.3,93,3,3.85,BR,1970-01-01
20,caravelas,-32.72,152.15,63.0,55,90,20.8,AU,1970-01-01
21,nelson bay,-21.36,55.77,75.2,60,2,21.92,RE,1970-01-01
22,saint-philippe,-41.41,175.52,46.4,70,0,8.05,NZ,1970-01-01
23,tsihombe,57.05,-135.33,55.4,93,90,5.82,US,1970-01-01
24,potgietersrus,-21.2,-175.2,68.0,77,20,9.17,TO,1970-01-01
25,waipawa,-46.6,168.33,46.0,86,100,8.14,NZ,1970-01-01
26,hvammstangi,16.83,75.7,79.23,70,100,27.29,IN,1970-01-01
27,sitka,-9.8,-139.03,77.92,78,62,19.04,PF,1970-01-01
28,vaini,-41.87,-73.82,37.99,74,40,11.41,CL,1970-01-01
29,bluff,35.55,133.23,91.4,63,20,17.22,JP,1970-01-01
30,bijapur,20.52,-13.05,90.46,46,81,5.48,MR,1970-01-01
31,atuona,69.49,88.4,71.6,46,82,15.66,RU,1970-01-01
32,ancud,22.29,114.16,89.01,62,1,10.0,HK,1970-01-01
33,sakaiminato,36.21,-115.98,82.0,25,0,1.36,US,1970-01-01
34,karaul,78.22,15.64,42.8,81,75,8.05,SJ,1970-01-01
35,atar,-13.7,-76.22,57.2,87,75,3.36,PE,1970-01-01
36,talnakh,42.1,-79.24,66.2,68,1,5.82,US,1970-01-01
37,victoria,-34.53,20.04,53.6,81,88,14.99,ZA,1970-01-01
